#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
22660896,11,11.462,1.551,7,8,-72,5180,googleWifiAP05,1
22661118,11,11.228,1.858,7,8,-71,5180,googleWifiAP05,1
22661385,11,10.993,1.88,7,8,-73,5180,googleWifiAP05,1
22661632,11,11.228,0.244,7,8,-70,5180,googleWifiAP05,1
22661906,11,11.404,0.321,7,8,-75,5180,googleWifiAP05,1
22662155,11,11.111,0.313,7,8,-72,5180,googleWifiAP05,1
22662419,11,11.521,0.199,7,8,-69,5180,googleWifiAP05,1
22662684,11,11.228,1.78,7,8,-70,5180,googleWifiAP05,1
22662951,11,11.111,0.345,7,8,-73,5180,googleWifiAP05,1
22663216,11,11.638,0.303,7,8,-69,5180,googleWifiAP05,1
22663492,11,11.111,0.388,7,8,-75,5180,googleWifiAP05,1
22663753,11,10.906,1.525,7,8,-71,5180,googleWifiAP05,1
22663992,11,11.257,1.578,7,8,-71,5180,googleWifiAP05,1
22664233,11,11.228,1.607,7,8,-70,5180,googleWifiAP05,1
22664470,11,10.993,0.681,7,8,-72,5180,googleWifiAP05,1
22664730,11,11.316,0.328,7,8,-71,5180,googleWifiAP05,1
22664993,11,11.169,0.335,7,8,-71,5180,googleWifiAP05,1
22665262,11,11.199,0.461,7,8,-70,5180,googleWifiAP05,1
22665543,11,11.433,0.255,7,8,-71,5180,googleWifiAP05,1
22665816,11,11.257,0.319,7,8,-72,5180,googleWifiAP05,1
22666059,11,11.316,0.377,7,8,-71,5180,googleWifiAP05,1
22666297,11,11.491,0.319,7,8,-70,5180,googleWifiAP05,1
22666535,11,11.433,0.198,7,8,-70,5180,googleWifiAP05,1
22666797,11,11.433,0.21,7,8,-69,5180,googleWifiAP05,1
22667059,11,11.491,0.181,7,8,-69,5180,googleWifiAP05,1
22667322,11,11.521,0.312,7,8,-70,5180,googleWifiAP05,1
22667590,11,11.491,1.356,7,8,-71,5180,googleWifiAP05,1
22667859,11,11.257,1.151,7,8,-74,5180,googleWifiAP05,1
22668107,11,11.052,1.185,7,8,-76,5180,googleWifiAP05,1
22668349,11,10.964,0.348,7,8,-76,5180,googleWifiAP05,1
22668587,11,10.993,0.398,7,8,-76,5180,googleWifiAP05,1
22668852,11,11.023,0.291,7,8,-76,5180,googleWifiAP05,1
22669124,11,11.169,0.248,7,8,-75,5180,googleWifiAP05,1
22669369,11,10.993,0.41,7,8,-75,5180,googleWifiAP05,1
22669607,11,11.14,0.34,7,8,-74,5180,googleWifiAP05,1
22669873,11,11.228,0.332,7,8,-73,5180,googleWifiAP05,1
22670119,11,11.169,0.331,7,8,-75,5180,googleWifiAP05,1
22670363,11,11.169,0.3,7,8,-76,5180,googleWifiAP05,1
22670605,11,11.081,0.341,7,8,-75,5180,googleWifiAP05,1
