#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
26994591,3,3.064,0.644,7,8,-57,5180,googleWifiAP05,1
26994837,3,3.259,0.147,7,8,-60,5180,googleWifiAP05,1
26995311,3,3.259,0.924,7,8,-60,5180,googleWifiAP05,1
26995554,3,3.181,0.414,7,8,-58,5180,googleWifiAP05,1
26995783,3,3.22,0.512,7,8,-52,5180,googleWifiAP05,1
26996024,3,2.986,0.604,7,8,-58,5180,googleWifiAP05,1
26996270,3,3.435,0.634,7,8,-61,5180,googleWifiAP05,1
26996999,3,2.908,0.701,7,8,-56,5180,googleWifiAP05,1
26997274,3,3.064,0.483,7,8,-59,5180,googleWifiAP05,1
26997800,3,3.064,0.756,7,8,-56,5180,googleWifiAP05,1
26999040,3,3.142,0.45,7,8,-53,5180,googleWifiAP05,1
26999842,3,3.025,0.712,7,8,-60,5180,googleWifiAP05,1
27000115,3,3.103,0.718,7,8,-56,5180,googleWifiAP05,1
27000392,3,3.103,0.558,7,8,-54,5180,googleWifiAP05,1
27000652,3,2.908,0.691,7,8,-58,5180,googleWifiAP05,1
27000921,3,2.986,0.62,7,8,-60,5180,googleWifiAP05,1
27001192,3,3.142,0.535,7,8,-60,5180,googleWifiAP05,1
27001452,3,2.907,0.751,7,8,-60,5180,googleWifiAP05,1
27001705,3,3.103,0.508,7,8,-60,5180,googleWifiAP05,1
27002508,3,3.142,0.52,7,8,-60,5180,googleWifiAP05,1
27002770,3,3.064,0.573,7,8,-59,5180,googleWifiAP05,1
27003041,3,3.025,0.58,7,8,-60,5180,googleWifiAP05,1
27003311,3,2.986,0.607,7,8,-60,5180,googleWifiAP05,1
27003583,3,3.064,0.641,7,8,-59,5180,googleWifiAP05,1
27006521,3,3.103,0.629,7,8,-60,5180,googleWifiAP05,1
27006772,3,3.103,0.526,7,8,-61,5180,googleWifiAP05,1
27007021,3,3.103,0.553,7,8,-61,5180,googleWifiAP05,1
27007280,3,3.103,0.523,7,8,-61,5180,googleWifiAP05,1
27007529,3,2.947,0.612,7,8,-62,5180,googleWifiAP05,1
27007793,3,3.259,0.574,7,8,-62,5180,googleWifiAP05,1
27008043,3,2.947,0.67,7,8,-62,5180,googleWifiAP05,1
27008293,3,3.142,0.605,7,8,-62,5180,googleWifiAP05,1
27008562,3,2.947,0.638,7,8,-62,5180,googleWifiAP05,1
27008828,3,3.025,0.63,7,8,-60,5180,googleWifiAP05,1
27009101,3,3.259,0.587,7,8,-60,5180,googleWifiAP05,1
27009374,3,2.908,0.692,7,8,-61,5180,googleWifiAP05,1
27009644,3,3.415,0.373,7,8,-61,5180,googleWifiAP05,1
27009900,3,3.259,0.552,7,8,-62,5180,googleWifiAP05,1
27010167,3,3.611,0.389,7,8,-62,5180,googleWifiAP05,1
27010416,3,2.908,0.503,7,8,-61,5180,googleWifiAP05,1
27010944,3,3.103,0.401,7,8,-54,5180,googleWifiAP05,1
27011214,3,3.22,0.395,7,8,-60,5180,googleWifiAP05,1
27011488,3,3.142,0.558,7,8,-60,5180,googleWifiAP05,1
27012342,3,3.142,0.652,7,8,-61,5180,googleWifiAP05,1
27012605,3,2.907,0.659,7,8,-62,5180,googleWifiAP05,1
27012861,3,3.025,0.659,7,8,-61,5180,googleWifiAP05,1
27013098,3,3.064,0.583,7,8,-60,5180,googleWifiAP05,1
27013344,3,3.025,0.54,7,8,-60,5180,googleWifiAP05,1
27013595,3,2.986,0.553,7,8,-61,5180,googleWifiAP05,1
27013842,3,2.947,0.616,7,8,-51,5180,googleWifiAP05,1
27014116,3,3.025,0.608,7,8,-61,5180,googleWifiAP05,1
27014386,3,3.025,0.586,7,8,-60,5180,googleWifiAP05,1
27014657,3,2.986,0.629,7,8,-59,5180,googleWifiAP05,1
27014932,3,3.064,0.595,7,8,-61,5180,googleWifiAP05,1
27016019,3,3.025,0.593,7,8,-62,5180,googleWifiAP05,1
27016288,3,3.064,0.542,7,8,-60,5180,googleWifiAP05,1
27016559,3,2.907,0.631,7,8,-63,5180,googleWifiAP05,1
27016828,3,3.142,0.602,7,8,-63,5180,googleWifiAP05,1
27017087,3,3.142,0.587,7,8,-65,5180,googleWifiAP05,1
27017356,3,3.064,0.433,7,8,-63,5180,googleWifiAP05,1
27017621,3,2.986,0.523,7,8,-64,5180,googleWifiAP05,1
27017895,3,3.142,0.496,7,8,-66,5180,googleWifiAP05,1
27018166,3,2.907,0.691,7,8,-64,5180,googleWifiAP05,1
27018401,3,2.947,0.673,7,8,-63,5180,googleWifiAP05,1
27018663,3,2.868,0.705,7,8,-55,5180,googleWifiAP05,1
27018928,3,3.064,0.516,7,8,-56,5180,googleWifiAP05,1
27019195,3,3.064,0.363,7,8,-66,5180,googleWifiAP05,1
27019462,3,3.142,0.57,7,8,-66,5180,googleWifiAP05,1
27019727,3,3.103,0.411,7,8,-64,5180,googleWifiAP05,1
27019997,3,3.025,0.447,7,8,-57,5180,googleWifiAP05,1
27020271,3,2.907,0.546,7,8,-58,5180,googleWifiAP05,1
27020545,3,3.064,0.616,7,8,-64,5180,googleWifiAP05,1
27028082,3,3.064,0.628,7,8,-61,5180,googleWifiAP05,1
27028339,3,2.986,0.616,7,8,-64,5180,googleWifiAP05,1
27028605,3,2.947,0.662,7,8,-64,5180,googleWifiAP05,1
27029140,3,2.829,0.823,7,8,-56,5180,googleWifiAP05,1
27029414,3,3.181,0.391,7,8,-56,5180,googleWifiAP05,1
27029676,3,3.142,0.552,7,8,-55,5180,googleWifiAP05,1
27029950,3,3.142,0.66,7,8,-61,5180,googleWifiAP05,1
27030219,3,3.181,0.651,7,8,-62,5180,googleWifiAP05,1
27030489,3,3.259,0.628,7,8,-60,5180,googleWifiAP05,1
27030757,3,3.259,0.577,7,8,-62,5180,googleWifiAP05,1
27031034,3,3.376,1.748,7,8,-62,5180,googleWifiAP05,1
27031299,3,2.869,0.54,7,8,-62,5180,googleWifiAP05,1
27031571,3,3.064,0.632,7,8,-62,5180,googleWifiAP05,1
27031839,3,3.181,0.475,7,8,-61,5180,googleWifiAP05,1
27032103,3,3.376,0.495,7,8,-62,5180,googleWifiAP05,1
27032348,3,3.298,0.535,7,8,-61,5180,googleWifiAP05,1
27032609,3,2.908,0.516,7,8,-62,5180,googleWifiAP05,1
27032880,3,3.415,0.368,7,8,-62,5180,googleWifiAP05,1
27033151,3,3.376,0.567,7,8,-63,5180,googleWifiAP05,1
27033687,3,3.064,0.399,7,8,-65,5180,googleWifiAP05,1
27033959,3,3.933,0.688,7,8,-56,5180,googleWifiAP05,1
27034228,3,2.908,0.688,7,8,-63,5180,googleWifiAP05,1
27034497,3,2.673,0.774,7,8,-62,5180,googleWifiAP05,1
27034759,3,2.908,0.609,7,8,-63,5180,googleWifiAP05,1
27035033,3,2.986,0.625,7,8,-62,5180,googleWifiAP05,1
