#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
33847994,14,15.256,0.133,7,8,-94,5180,googleWifiAP05,1
33848244,14,15.256,0.287,7,8,-96,5180,googleWifiAP05,1
33848504,14,15.256,0.206,7,8,-95,5180,googleWifiAP05,1
33848793,14,15.178,0.2,7,8,-97,5180,googleWifiAP05,1
33849062,14,15.295,0.089,7,8,-94,5180,googleWifiAP05,1
33849329,14,15.1,0.188,7,8,-93,5180,googleWifiAP05,1
33849617,14,15.373,0.104,7,8,-95,5180,googleWifiAP05,1
33849894,14,15.256,0.089,7,8,-95,5180,googleWifiAP05,1
33850161,14,15.198,0.103,7,8,-94,5180,googleWifiAP05,1
33850438,14,14.827,0.391,7,8,-94,5180,googleWifiAP05,1
33850726,14,14.944,0.225,7,8,-95,5180,googleWifiAP05,1
33850997,14,15.022,0.195,7,8,-96,5180,googleWifiAP05,1
33851250,14,15.608,0.164,7,8,-91,5180,googleWifiAP05,1
33851506,14,14.866,0.333,7,8,-97,5180,googleWifiAP05,1
33851781,14,15.256,0.089,7,8,-95,5180,googleWifiAP05,1
33852054,14,14.788,0.295,7,8,-96,5180,googleWifiAP05,1
33852327,14,15.061,0.235,7,8,-95,5180,googleWifiAP05,1
33852614,14,15.256,0.131,7,8,-95,5180,googleWifiAP05,1
33852899,14,15.022,0.131,7,8,-95,5180,googleWifiAP05,1
33853177,14,15.022,0.273,7,8,-95,5180,googleWifiAP05,1
33853461,14,15.139,0.254,7,8,-95,5180,googleWifiAP05,1
33853743,14,15.256,0.112,7,8,-95,5180,googleWifiAP05,1
33854026,14,15.178,0.369,7,8,-96,5180,googleWifiAP05,1
33854311,14,15.139,0.18,7,8,-96,5180,googleWifiAP05,1
33854587,14,15.022,0.162,7,8,-95,5180,googleWifiAP05,1
33854866,14,14.983,0.238,7,8,-96,5180,googleWifiAP05,1
33855139,14,14.866,0.278,7,8,-96,5180,googleWifiAP05,1
33855417,14,15.061,0.22,7,8,-96,5180,googleWifiAP05,1
33855698,14,15.061,0.216,7,8,-95,5180,googleWifiAP05,1
33855974,14,14.983,0.196,7,8,-96,5180,googleWifiAP05,1
33856255,14,15.061,0.236,7,8,-96,5180,googleWifiAP05,1
33856539,14,15.139,0.13,7,8,-96,5180,googleWifiAP05,1
33856823,14,15.022,0.179,7,8,-96,5180,googleWifiAP05,1
33857102,14,15.022,0.217,7,8,-96,5180,googleWifiAP05,1
33857392,14,14.905,0.248,7,8,-96,5180,googleWifiAP05,1
33857679,14,15.178,0.166,7,8,-96,5180,googleWifiAP05,1
33857965,14,15.286,0.164,7,8,-96,5180,googleWifiAP05,1
33858253,14,15.139,0.202,7,8,-96,5180,googleWifiAP05,1
33858538,14,15.022,0.235,7,8,-96,5180,googleWifiAP05,1
33858824,14,15.256,0.144,7,8,-95,5180,googleWifiAP05,1
33859083,14,15.139,0.193,7,8,-96,5180,googleWifiAP05,1
33859342,14,14.944,0.325,7,8,-96,5180,googleWifiAP05,1
33859618,14,15.061,0.198,7,8,-95,5180,googleWifiAP05,1
33859903,14,15.1,0.188,7,8,-95,5180,googleWifiAP05,1
33860184,14,15.178,0.174,7,8,-95,5180,googleWifiAP05,1
33860464,14,15.022,0.241,7,8,-95,5180,googleWifiAP05,1
33860739,14,14.983,0.31,7,8,-95,5180,googleWifiAP05,1
33861009,14,15.022,0.214,7,8,-90,5180,googleWifiAP05,1
33861292,14,14.905,0.305,7,8,-96,5180,googleWifiAP05,1
33861572,14,14.944,0.167,7,8,-96,5180,googleWifiAP05,1
33861855,14,15.178,0.103,7,8,-95,5180,googleWifiAP05,1
33862123,14,15.1,0.244,7,8,-95,5180,googleWifiAP05,1
33862401,14,15.139,0.198,7,8,-95,5180,googleWifiAP05,1
33862686,14,15.139,0.181,7,8,-96,5180,googleWifiAP05,1
33862961,14,14.905,0.319,7,8,-95,5180,googleWifiAP05,1
33863218,14,15.022,0.203,7,8,-96,5180,googleWifiAP05,1
33863494,14,14.788,0.331,7,8,-96,5180,googleWifiAP05,1
33863768,14,15.022,0.258,7,8,-96,5180,googleWifiAP05,1
33864052,14,14.905,0.293,7,8,-96,5180,googleWifiAP05,1
33864331,14,15.295,0.193,7,8,-95,5180,googleWifiAP05,1
33864606,14,14.993,0.151,7,8,-97,5180,googleWifiAP05,1
33864886,14,14.983,0.28,7,8,-94,5180,googleWifiAP05,1
33865161,14,14.905,0.311,7,8,-96,5180,googleWifiAP05,1
33865441,14,14.983,0.235,7,8,-96,5180,googleWifiAP05,1
33865721,14,14.905,0.213,7,8,-95,5180,googleWifiAP05,1
33866004,14,14.944,0.135,7,8,-94,5180,googleWifiAP05,1
33866289,14,15.295,0.179,7,8,-95,5180,googleWifiAP05,1
33866572,14,15.1,0.275,7,8,-94,5180,googleWifiAP05,1
33866827,14,15.1,0.309,7,8,-94,5180,googleWifiAP05,1
33867099,14,15.022,0.412,7,8,-94,5180,googleWifiAP05,1
33867353,14,14.905,0.298,7,8,-94,5180,googleWifiAP05,1
33867608,14,14.944,0.279,7,8,-94,5180,googleWifiAP05,1
33867890,14,15.217,0.145,7,8,-94,5180,googleWifiAP05,1
33868155,14,15.256,0.201,7,8,-94,5180,googleWifiAP05,1
33868439,14,15.334,0.147,7,8,-94,5180,googleWifiAP05,1
33868722,14,15.217,0.155,7,8,-97,5180,googleWifiAP05,1
33869008,14,14.866,0.33,7,8,-97,5180,googleWifiAP05,1
33869291,14,15.1,0.379,7,8,-97,5180,googleWifiAP05,1
33869581,14,14.944,0.359,7,8,-97,5180,googleWifiAP05,1
33869860,14,14.983,0.319,7,8,-96,5180,googleWifiAP05,1
33870143,14,15.217,0.206,7,8,-96,5180,googleWifiAP05,1
33870424,14,15.022,0.28,7,8,-95,5180,googleWifiAP05,1
33870701,14,15.178,0.18,7,8,-94,5180,googleWifiAP05,1
33870984,14,15.334,0.161,7,8,-95,5180,googleWifiAP05,1
33871252,14,15.256,0.105,7,8,-95,5180,googleWifiAP05,1
33871530,14,15.334,0.125,7,8,-95,5180,googleWifiAP05,1
33871803,14,15.295,0.181,7,8,-93,5180,googleWifiAP05,1
33872084,14,14.044,1.154,7,8,-88,5180,googleWifiAP05,1
33872360,14,14.827,0.385,7,8,-95,5180,googleWifiAP05,1
33872650,14,15.061,0.272,7,8,-94,5180,googleWifiAP05,1
33872929,14,15.256,0.158,7,8,-94,5180,googleWifiAP05,1
33873210,14,14.866,0.335,7,8,-93,5180,googleWifiAP05,1
33873490,14,14.827,0.334,7,8,-95,5180,googleWifiAP05,1
33873777,14,14.788,0.412,7,8,-95,5180,googleWifiAP05,1
33874058,14,14.866,0.354,7,8,-95,5180,googleWifiAP05,1
33874327,14,14.905,0.371,7,8,-93,5180,googleWifiAP05,1
33874611,14,15.256,0.085,7,8,-93,5180,googleWifiAP05,1
33874905,14,15.061,0.233,7,8,-94,5180,googleWifiAP05,1
33875192,14,15.373,0.095,7,8,-94,5180,googleWifiAP05,1
33875470,14,15.217,0.159,7,8,-94,5180,googleWifiAP05,1
33875749,14,15.256,0.16,7,8,-93,5180,googleWifiAP05,1
33876028,14,15.1,0.244,7,8,-93,5180,googleWifiAP05,1
33876305,14,15.334,0.156,7,8,-94,5180,googleWifiAP05,1
33876588,14,15.334,0.224,7,8,-93,5180,googleWifiAP05,1
33876871,14,15.295,0.17,7,8,-93,5180,googleWifiAP05,1
33877159,14,15.081,0.219,7,8,-92,5180,googleWifiAP05,1
33877424,14,15.061,0.241,7,8,-92,5180,googleWifiAP05,1
33877714,14,14.983,0.279,7,8,-92,5180,googleWifiAP05,1
33877990,14,15.1,0.259,7,8,-92,5180,googleWifiAP05,1
33878285,14,15.217,0.156,7,8,-92,5180,googleWifiAP05,1
33878569,14,15.295,0.099,7,8,-93,5180,googleWifiAP05,1
33878857,14,15.256,0.186,7,8,-94,5180,googleWifiAP05,1
33879143,14,15.403,0.131,7,8,-93,5180,googleWifiAP05,1
33879417,14,15.373,0.137,7,8,-94,5180,googleWifiAP05,1
33879700,14,15.256,0.151,7,8,-94,5180,googleWifiAP05,1
33880265,14,14.591,0.798,7,8,-85,5180,googleWifiAP05,1
33880551,14,15.256,0.201,7,8,-89,5180,googleWifiAP05,1
33881124,14,15.256,0.23,7,8,-94,5180,googleWifiAP05,1
33881409,14,15.256,0.131,7,8,-95,5180,googleWifiAP05,1
33881691,14,15.217,0.158,7,8,-93,5180,googleWifiAP05,1
33881967,14,15.334,0.143,7,8,-93,5180,googleWifiAP05,1
