#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
31689393,1,2.688,0.739,7,8,-61,5180,googleWifiAP05,1
31689642,1,2.805,0.701,7,8,-69,5180,googleWifiAP05,1
31689892,1,2.659,0.594,7,8,-73,5180,googleWifiAP05,1
31690165,1,2.893,1.332,7,8,-71,5180,googleWifiAP05,1
31690424,1,2.659,1.113,7,8,-60,5180,googleWifiAP05,1
31690687,1,2.717,1.003,7,8,-63,5180,googleWifiAP05,1
31690953,1,2.746,1.059,7,8,-61,5180,googleWifiAP05,1
31691211,1,2.747,1.006,7,8,-64,5180,googleWifiAP05,1
31691473,1,2.747,0.808,7,8,-61,5180,googleWifiAP05,1
31691740,1,2.454,1.12,7,8,-68,5180,googleWifiAP05,1
31692017,1,2.629,1.055,7,8,-64,5180,googleWifiAP05,1
31692297,1,2.571,1.107,7,8,-60,5180,googleWifiAP05,1
31692571,1,2.776,0.844,7,8,-63,5180,googleWifiAP05,1
31692819,1,2.629,0.936,7,8,-64,5180,googleWifiAP05,1
31693069,1,2.483,1.163,7,8,-72,5180,googleWifiAP05,1
31693324,1,2.629,1.182,7,8,-66,5180,googleWifiAP05,1
31693595,1,2.6,1.121,7,8,-60,5180,googleWifiAP05,1
31693873,1,2.512,1.051,7,8,-64,5180,googleWifiAP05,1
31694147,1,2.717,0.954,7,8,-63,5180,googleWifiAP05,1
31694420,1,2.571,0.984,7,8,-63,5180,googleWifiAP05,1
31694691,1,2.688,0.998,7,8,-64,5180,googleWifiAP05,1
31694964,1,2.6,0.834,7,8,-60,5180,googleWifiAP05,1
31695229,1,2.717,0.964,7,8,-65,5180,googleWifiAP05,1
31695499,1,2.717,0.917,7,8,-64,5180,googleWifiAP05,1
31695781,1,2.717,0.918,7,8,-63,5180,googleWifiAP05,1
31696063,1,2.659,0.994,7,8,-64,5180,googleWifiAP05,1
31696344,1,2.746,0.933,7,8,-64,5180,googleWifiAP05,1
31696613,1,2.6,1.03,7,8,-64,5180,googleWifiAP05,1
31696899,1,2.512,1.076,7,8,-66,5180,googleWifiAP05,1
31697178,1,2.541,0.997,7,8,-62,5180,googleWifiAP05,1
31697457,1,2.688,0.992,7,8,-64,5180,googleWifiAP05,1
31697728,1,2.629,0.962,7,8,-63,5180,googleWifiAP05,1
31698007,1,2.659,0.968,7,8,-64,5180,googleWifiAP05,1
31698292,1,2.688,0.992,7,8,-64,5180,googleWifiAP05,1
31698554,1,2.659,1.019,7,8,-64,5180,googleWifiAP05,1
31698808,1,2.659,1.007,7,8,-66,5180,googleWifiAP05,1
31699078,1,2.659,1.013,7,8,-65,5180,googleWifiAP05,1
31699361,1,2.629,0.974,7,8,-63,5180,googleWifiAP05,1
31699638,1,2.6,0.987,7,8,-63,5180,googleWifiAP05,1
31699915,1,2.6,0.932,7,8,-64,5180,googleWifiAP05,1
31700188,1,2.571,1.066,7,8,-65,5180,googleWifiAP05,1
31700444,1,2.541,1.104,7,8,-63,5180,googleWifiAP05,1
