#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
13046504,7,8.147,1.882,7,8,-82,5180,GoogleWiFi_AP03,1
13046885,7,8.577,2.002,7,8,-82,5180,GoogleWiFi_AP03,1
13047262,7,8.42,2.054,7,8,-85,5180,GoogleWiFi_AP03,1
13047637,7,8.547,0.909,7,8,-78,5180,GoogleWiFi_AP03,1
13048026,7,8.987,0.747,7,8,-80,5180,GoogleWiFi_AP03,1
13048429,7,9.084,0.169,7,8,-82,5180,GoogleWiFi_AP03,1
13048841,7,9.436,0.824,7,8,-77,5180,GoogleWiFi_AP03,1
13049249,7,9.436,0.97,7,8,-80,5180,GoogleWiFi_AP03,1
13049662,7,8.928,0.152,7,8,-83,5180,GoogleWiFi_AP03,1
13050051,7,9.016,0.261,7,8,-78,5180,GoogleWiFi_AP03,1
13050450,7,8.752,0.363,7,8,-76,5180,GoogleWiFi_AP03,1
13050860,7,8.635,0.459,7,8,-77,5180,GoogleWiFi_AP03,1
13051272,7,8.547,0.431,7,8,-76,5180,GoogleWiFi_AP03,1
13051684,7,8.664,0.428,7,8,-77,5180,GoogleWiFi_AP03,1
13052096,7,8.577,0.441,7,8,-78,5180,GoogleWiFi_AP03,1
13052519,7,8.166,0.515,7,8,-78,5180,GoogleWiFi_AP03,1
13052931,7,8.372,0.24,7,8,-78,5180,GoogleWiFi_AP03,1
13053343,7,8.547,0.189,7,8,-78,5180,GoogleWiFi_AP03,1
13053754,7,8.547,0.207,7,8,-79,5180,GoogleWiFi_AP03,1
13054162,7,8.46,0.227,7,8,-77,5180,GoogleWiFi_AP03,1
13054572,7,8.606,0.444,7,8,-74,5180,GoogleWiFi_AP03,1
13054982,7,8.547,0.458,7,8,-81,5180,GoogleWiFi_AP03,1
13055390,7,8.518,0.479,7,8,-79,5180,GoogleWiFi_AP03,1
13055802,7,8.84,0.219,7,8,-81,5180,GoogleWiFi_AP03,1
13056208,7,8.782,0.265,7,8,-78,5180,GoogleWiFi_AP03,1
13056615,7,8.371,0.358,7,8,-77,5180,GoogleWiFi_AP03,1
13057022,7,8.577,0.348,7,8,-76,5180,GoogleWiFi_AP03,1
13057416,7,8.577,0.157,7,8,-75,5180,GoogleWiFi_AP03,1
13057823,7,8.723,0.196,7,8,-76,5180,GoogleWiFi_AP03,1
13058231,7,8.811,0.172,7,8,-77,5180,GoogleWiFi_AP03,1
13058640,7,8.547,0.577,7,8,-79,5180,GoogleWiFi_AP03,1
13059052,7,8.84,0.309,7,8,-76,5180,GoogleWiFi_AP03,1
13059468,7,8.635,0.369,7,8,-78,5180,GoogleWiFi_AP03,1
13059888,7,8.635,0.308,7,8,-80,5180,GoogleWiFi_AP03,1
13060297,7,8.84,0.231,7,8,-78,5180,GoogleWiFi_AP03,1
13060705,7,8.694,0.209,7,8,-79,5180,GoogleWiFi_AP03,1
13061118,7,8.401,0.535,7,8,-77,5180,GoogleWiFi_AP03,1
13061529,7,8.547,0.429,7,8,-76,5180,GoogleWiFi_AP03,1
13061953,7,8.547,0.429,7,8,-78,5180,GoogleWiFi_AP03,1
13062363,7,8.518,0.574,7,8,-79,5180,GoogleWiFi_AP03,1
13062776,7,8.606,0.383,7,8,-78,5180,GoogleWiFi_AP03,1
13063186,7,8.733,0.085,7,8,-78,5180,GoogleWiFi_AP03,1
13063595,7,8.43,0.409,7,8,-79,5180,GoogleWiFi_AP03,1
13064004,7,8.87,0.19,7,8,-78,5180,GoogleWiFi_AP03,1
13064393,7,8.635,0.439,7,8,-77,5180,GoogleWiFi_AP03,1
13064803,7,8.782,0.486,7,8,-79,5180,GoogleWiFi_AP03,1
13065212,7,8.782,0.442,7,8,-81,5180,GoogleWiFi_AP03,1
13065606,7,9.309,0.174,7,8,-82,5180,GoogleWiFi_AP03,1
13066013,7,8.577,0.245,7,8,-77,5180,GoogleWiFi_AP03,1
13066425,7,8.577,0.53,7,8,-76,5180,GoogleWiFi_AP03,1
13066826,7,8.606,0.289,7,8,-77,5180,GoogleWiFi_AP03,1
13067217,7,8.664,0.257,7,8,-76,5180,GoogleWiFi_AP03,1
13067623,7,8.665,0.251,7,8,-80,5180,GoogleWiFi_AP03,1
13068022,7,8.723,0.189,7,8,-79,5180,GoogleWiFi_AP03,1
13068435,7,8.489,0.376,7,8,-78,5180,GoogleWiFi_AP03,1
13068846,7,8.782,0.192,7,8,-80,5180,GoogleWiFi_AP03,1
13069260,7,8.577,0.241,7,8,-77,5180,GoogleWiFi_AP03,1
13069664,7,8.577,0.31,7,8,-76,5180,GoogleWiFi_AP03,1
13070069,7,8.489,0.41,7,8,-77,5180,GoogleWiFi_AP03,1
13070478,7,8.635,0.274,7,8,-77,5180,GoogleWiFi_AP03,1
13070886,7,8.371,0.456,7,8,-76,5180,GoogleWiFi_AP03,1
13071300,7,8.342,0.472,7,8,-77,5180,GoogleWiFi_AP03,1
13071690,7,8.577,0.304,7,8,-77,5180,GoogleWiFi_AP03,1
13072103,7,8.693,0.479,7,8,-67,5180,GoogleWiFi_AP03,1
13072513,7,7.599,1.292,7,8,-67,5180,GoogleWiFi_AP03,1
13072922,7,7.755,1.307,7,8,-70,5180,GoogleWiFi_AP03,1
13073332,7,8.694,0.211,7,8,-75,5180,GoogleWiFi_AP03,1
13073716,7,8.899,0.103,7,8,-78,5180,GoogleWiFi_AP03,1
13074121,7,8.958,0.129,7,8,-77,5180,GoogleWiFi_AP03,1
13074530,7,8.958,0.075,7,8,-80,5180,GoogleWiFi_AP03,1
13074949,7,8.723,1.347,7,8,-79,5180,GoogleWiFi_AP03,1
13075332,7,8.967,0.125,7,8,-81,5180,GoogleWiFi_AP03,1
13075697,7,8.772,0.079,7,8,-79,5180,GoogleWiFi_AP03,1
13076072,7,9.006,0.106,7,8,-83,5180,GoogleWiFi_AP03,1
13076479,7,8.577,0.203,7,8,-81,5180,GoogleWiFi_AP03,1
13076891,7,8.772,0.253,7,8,-83,5180,GoogleWiFi_AP03,1
13077299,7,8.84,1.01,7,8,-84,5180,GoogleWiFi_AP03,1
13077702,7,9.192,2.253,7,8,-85,5180,GoogleWiFi_AP03,1
13078104,7,9.104,0.089,7,8,-82,5180,GoogleWiFi_AP03,1
13078489,7,9.309,0.131,7,8,-82,5180,GoogleWiFi_AP03,1
13078856,7,8.635,0.155,7,8,-72,5180,GoogleWiFi_AP03,1
13079261,7,8.43,0.233,7,8,-76,5180,GoogleWiFi_AP03,1
13079673,7,8.606,0.229,7,8,-77,5180,GoogleWiFi_AP03,1
13080084,7,8.312,0.579,7,8,-68,5180,GoogleWiFi_AP03,1
13080486,7,8.196,0.544,7,8,-76,5180,GoogleWiFi_AP03,1
13080920,7,8.254,0.269,7,8,-78,5180,GoogleWiFi_AP03,1
13081333,7,8.225,0.339,7,8,-79,5180,GoogleWiFi_AP03,1
13081742,7,8.401,0.15,7,8,-79,5180,GoogleWiFi_AP03,1
13082150,7,8.547,0.179,7,8,-80,5180,GoogleWiFi_AP03,1
13082560,7,8.284,0.329,7,8,-78,5180,GoogleWiFi_AP03,1
13082970,7,8.254,0.254,7,8,-78,5180,GoogleWiFi_AP03,1
13083375,7,8.401,0.233,7,8,-79,5180,GoogleWiFi_AP03,1
13083779,7,7.951,0.937,7,8,-68,5180,GoogleWiFi_AP03,1
13084190,7,8.342,0.277,7,8,-78,5180,GoogleWiFi_AP03,1
13084596,7,7.931,1.111,7,8,-72,5180,GoogleWiFi_AP03,1
13085004,7,8.606,0.26,7,8,-79,5180,GoogleWiFi_AP03,1
13085408,7,8.635,0.296,7,8,-73,5180,GoogleWiFi_AP03,1
13085811,7,8.635,0.139,7,8,-82,5180,GoogleWiFi_AP03,1
13086219,7,8.43,0.292,7,8,-80,5180,GoogleWiFi_AP03,1
13086623,7,8.137,0.294,7,8,-79,5180,GoogleWiFi_AP03,1
13087031,7,8.225,0.387,7,8,-78,5180,GoogleWiFi_AP03,1
13087444,7,8.401,0.428,7,8,-76,5180,GoogleWiFi_AP03,1
13087840,7,8.84,0.315,7,8,-78,5180,GoogleWiFi_AP03,1
13088241,7,8.577,0.31,7,8,-76,5180,GoogleWiFi_AP03,1
13088638,7,8.489,0.179,7,8,-77,5180,GoogleWiFi_AP03,1
13089048,7,8.371,0.246,7,8,-79,5180,GoogleWiFi_AP03,1
13089439,7,8.401,0.196,7,8,-81,5180,GoogleWiFi_AP03,1
13089839,7,8.313,0.123,7,8,-81,5180,GoogleWiFi_AP03,1
13090253,7,8.313,0.172,7,8,-81,5180,GoogleWiFi_AP03,1
13090661,7,8.166,0.22,7,8,-80,5180,GoogleWiFi_AP03,1
13091066,7,8.196,0.17,7,8,-80,5180,GoogleWiFi_AP03,1
13091476,7,8.284,0.158,7,8,-81,5180,GoogleWiFi_AP03,1
13091886,7,8.342,0.155,7,8,-81,5180,GoogleWiFi_AP03,1
13092300,7,8.254,0.206,7,8,-81,5180,GoogleWiFi_AP03,1
13092709,7,8.225,0.198,7,8,-81,5180,GoogleWiFi_AP03,1
13093117,7,8.137,0.154,7,8,-82,5180,GoogleWiFi_AP03,1
13093528,7,8.342,0.126,7,8,-82,5180,GoogleWiFi_AP03,1
13093943,7,8.196,0.176,7,8,-81,5180,GoogleWiFi_AP03,1
13094354,7,8.284,0.179,7,8,-81,5180,GoogleWiFi_AP03,1
13094762,7,8.225,0.198,7,8,-81,5180,GoogleWiFi_AP03,1
13095174,7,8.254,0.189,7,8,-81,5180,GoogleWiFi_AP03,1
13095583,7,8.196,0.203,7,8,-81,5180,GoogleWiFi_AP03,1
13095993,7,8.342,0.127,7,8,-81,5180,GoogleWiFi_AP03,1
13096404,7,8.43,0.13,7,8,-81,5180,GoogleWiFi_AP03,1
13096822,7,8.137,0.237,7,8,-81,5180,GoogleWiFi_AP03,1
13097236,7,8.254,0.261,7,8,-80,5180,GoogleWiFi_AP03,1
13097647,7,8.196,0.29,7,8,-80,5180,GoogleWiFi_AP03,1
13098058,7,8.196,0.235,7,8,-80,5180,GoogleWiFi_AP03,1
13098471,7,8.43,0.153,7,8,-81,5180,GoogleWiFi_AP03,1
13098874,7,8.166,0.292,7,8,-81,5180,GoogleWiFi_AP03,1
13099287,7,8.342,0.21,7,8,-81,5180,GoogleWiFi_AP03,1
13099695,7,8.313,0.205,7,8,-81,5180,GoogleWiFi_AP03,1
13100081,7,8.694,0.094,7,8,-79,5180,GoogleWiFi_AP03,1
13100492,7,8.664,0.128,7,8,-79,5180,GoogleWiFi_AP03,1
13100910,7,8.459,0.186,7,8,-80,5180,GoogleWiFi_AP03,1
13101320,7,8.371,0.187,7,8,-80,5180,GoogleWiFi_AP03,1
13101732,7,8.313,0.297,7,8,-80,5180,GoogleWiFi_AP03,1
13102142,7,8.225,0.304,7,8,-81,5180,GoogleWiFi_AP03,1
13102555,7,8.928,0.919,7,8,-82,5180,GoogleWiFi_AP03,1
13102961,7,9.241,0.13,7,8,-79,5180,GoogleWiFi_AP03,1
13103375,7,8.87,0.205,7,8,-77,5180,GoogleWiFi_AP03,1
13103787,7,8.899,0.331,7,8,-80,5180,GoogleWiFi_AP03,1
13104196,7,9.319,1.074,7,8,-80,5180,GoogleWiFi_AP03,1
13104591,7,8.489,0.24,7,8,-80,5180,GoogleWiFi_AP03,1
13105006,7,8.225,0.172,7,8,-80,5180,GoogleWiFi_AP03,1
13105410,7,8.459,0.175,7,8,-80,5180,GoogleWiFi_AP03,1
13105820,7,8.313,0.138,7,8,-80,5180,GoogleWiFi_AP03,1
13106227,7,8.401,0.166,7,8,-80,5180,GoogleWiFi_AP03,1
13106633,7,8.43,0.232,7,8,-80,5180,GoogleWiFi_AP03,1
13107042,7,8.254,0.208,7,8,-80,5180,GoogleWiFi_AP03,1
13107455,7,8.43,0.188,7,8,-80,5180,GoogleWiFi_AP03,1
13107859,7,8.137,0.261,7,8,-79,5180,GoogleWiFi_AP03,1
13108267,7,8.606,0.175,7,8,-78,5180,GoogleWiFi_AP03,1
13108679,7,8.723,0.225,7,8,-79,5180,GoogleWiFi_AP03,1
13109078,7,8.284,0.367,7,8,-78,5180,GoogleWiFi_AP03,1
13109490,7,8.899,0.103,7,8,-82,5180,GoogleWiFi_AP03,1
13109902,7,8.772,0.845,7,8,-81,5180,GoogleWiFi_AP03,1
13110311,7,8.342,0.248,7,8,-77,5180,GoogleWiFi_AP03,1
13110715,7,8.811,0.16,7,8,-80,5180,GoogleWiFi_AP03,1
13111113,7,9.475,1.169,7,8,-71,5180,GoogleWiFi_AP03,1
13111516,7,9.397,0.972,7,8,-81,5180,GoogleWiFi_AP03,1
13111925,7,9.748,1.032,7,8,-78,5180,GoogleWiFi_AP03,1
13112334,7,9.202,1.035,7,8,-80,5180,GoogleWiFi_AP03,1
13112746,7,8.811,0.885,7,8,-79,5180,GoogleWiFi_AP03,1
13113153,7,9.28,1.134,7,8,-78,5180,GoogleWiFi_AP03,1
13113563,7,9.084,1.172,7,8,-79,5180,GoogleWiFi_AP03,1
13113974,7,8.889,0.208,7,8,-79,5180,GoogleWiFi_AP03,1
13114387,7,8.694,0.198,7,8,-76,5180,GoogleWiFi_AP03,1
13114798,7,8.606,0.283,7,8,-74,5180,GoogleWiFi_AP03,1
13115207,7,8.459,0.569,7,8,-74,5180,GoogleWiFi_AP03,1
13115609,7,8.137,0.632,7,8,-76,5180,GoogleWiFi_AP03,1
13116003,7,8.899,0.124,7,8,-75,5180,GoogleWiFi_AP03,1
13116395,7,8.869,0.279,7,8,-74,5180,GoogleWiFi_AP03,1
13116803,7,8.664,0.179,7,8,-73,5180,GoogleWiFi_AP03,1
13117214,7,9.123,0.177,7,8,-78,5180,GoogleWiFi_AP03,1
13117625,7,8.254,0.428,7,8,-74,5180,GoogleWiFi_AP03,1
13118025,7,9.553,0.926,7,8,-75,5180,GoogleWiFi_AP03,1
13118437,7,8.459,0.35,7,8,-73,5180,GoogleWiFi_AP03,1
13118850,7,9.241,0.79,7,8,-80,5180,GoogleWiFi_AP03,1
13119254,7,8.85,1.387,7,8,-81,5180,GoogleWiFi_AP03,1
13119661,7,9.436,0.924,7,8,-81,5180,GoogleWiFi_AP03,1
13120074,7,9.28,1.191,7,8,-81,5180,GoogleWiFi_AP03,1
13120486,7,9.25,0.097,7,8,-80,5180,GoogleWiFi_AP03,1
13120890,7,9.749,0.703,7,8,-81,5180,GoogleWiFi_AP03,1
13121295,7,9.25,0.298,7,8,-77,5180,GoogleWiFi_AP03,1
13121692,7,8.313,0.931,7,8,-75,5180,GoogleWiFi_AP03,1
13122100,7,8.664,0.274,7,8,-77,5180,GoogleWiFi_AP03,1
13122488,7,9.28,0.098,7,8,-84,5180,GoogleWiFi_AP03,1
13122891,7,8.889,0.633,7,8,-72,5180,GoogleWiFi_AP03,1
13123325,7,8.957,0.224,7,8,-82,5180,GoogleWiFi_AP03,1
13123708,7,9.202,0.251,7,8,-76,5180,GoogleWiFi_AP03,1
13124123,7,8.781,1.279,7,8,-68,5180,GoogleWiFi_AP03,1
13124525,7,8.87,0.39,7,8,-75,5180,GoogleWiFi_AP03,1
13124919,7,8.371,0.253,7,8,-70,5180,GoogleWiFi_AP03,1
13125333,7,8.87,0.1,7,8,-78,5180,GoogleWiFi_AP03,1
13125748,7,8.782,0.081,7,8,-78,5180,GoogleWiFi_AP03,1
13126160,7,8.518,0.266,7,8,-76,5180,GoogleWiFi_AP03,1
13126568,7,8.459,0.319,7,8,-80,5180,GoogleWiFi_AP03,1
13126957,7,8.635,0.519,7,8,-80,5180,GoogleWiFi_AP03,1
13127371,7,8.459,0.931,7,8,-80,5180,GoogleWiFi_AP03,1
13127784,7,8.899,0.681,7,8,-81,5180,GoogleWiFi_AP03,1
13128198,7,8.899,0.562,7,8,-82,5180,GoogleWiFi_AP03,1
13128609,7,8.577,0.627,7,8,-78,5180,GoogleWiFi_AP03,1
13129017,7,8.606,0.46,7,8,-79,5180,GoogleWiFi_AP03,1
13129428,7,8.986,0.537,7,8,-71,5180,GoogleWiFi_AP03,1
13129840,7,8.752,0.37,7,8,-78,5180,GoogleWiFi_AP03,1
13130249,7,8.577,0.497,7,8,-79,5180,GoogleWiFi_AP03,1
13130665,7,8.723,0.338,7,8,-79,5180,GoogleWiFi_AP03,1
13131079,7,8.43,0.623,7,8,-78,5180,GoogleWiFi_AP03,1
13131489,7,8.577,0.594,7,8,-78,5180,GoogleWiFi_AP03,1
13131897,7,8.723,0.455,7,8,-78,5180,GoogleWiFi_AP03,1
13132304,7,8.694,0.547,7,8,-79,5180,GoogleWiFi_AP03,1
13132708,7,8.694,0.428,7,8,-78,5180,GoogleWiFi_AP03,1
13133117,7,8.752,0.324,7,8,-78,5180,GoogleWiFi_AP03,1
13133524,7,8.518,0.539,7,8,-78,5180,GoogleWiFi_AP03,1
13133900,7,8.752,0.344,7,8,-79,5180,GoogleWiFi_AP03,1
13134309,7,8.635,0.448,7,8,-79,5180,GoogleWiFi_AP03,1
13134717,7,8.401,0.556,7,8,-78,5180,GoogleWiFi_AP03,1
13135131,7,8.782,0.852,7,8,-80,5180,GoogleWiFi_AP03,1
